102 400
1 2 18
1 3 14
1 2 8
1 2 10
1 6 2
1 6 8
1 3 14
1 5 7
1 3 10
1 6 6
1 2 18
1 5 20
1 6 17
1 2 3
1 2 12
1 5 14
1 5 12
1 5 12
1 5 20
1 5 6
2 10 10
6 9 12
6 10 7
2 10 20
5 10 4
2 11 16
4 11 14
3 7 13
3 11 4
3 9 20
2 7 6
2 9 10
3 7 13
5 10 2
2 7 3
5 11 8
5 9 15
4 8 17
6 7 2
2 7 4
10 13 12
8 13 17
8 13 14
10 16 7
9 13 16
10 14 15
9 14 12
11 15 3
9 14 3
7 14 14
7 16 17
10 16 6
10 15 10
10 12 5
11 13 3
11 13 2
7 16 12
10 12 14
7 13 19
9 13 9
16 18 8
14 17 18
15 17 19
14 17 18
14 18 17
14 17 13
16 19 7
14 18 4
15 21 13
15 19 2
15 17 5
16 20 9
16 17 1
12 17 8
13 18 2
14 19 10
15 21 12
13 18 12
16 20 6
15 19 18
18 23 13
20 24 5
20 26 16
21 22 16
18 23 15
19 26 4
17 23 18
18 26 16
21 23 8
21 22 5
17 24 9
17 22 15
18 23 11
18 22 6
17 25 7
20 25 12
21 22 6
21 25 1
17 22 9
19 22 1
24 30 12
23 31 2
24 27 8
25 28 17
24 29 1
26 27 1
22 27 17
26 27 5
25 31 10
22 29 17
26 29 14
26 30 15
26 31 15
25 27 8
23 27 16
23 31 19
22 31 19
24 30 8
24 30 14
23 30 11
31 32 20
27 35 8
29 35 17
30 36 10
29 36 5
27 34 14
30 32 13
31 34 4
30 32 20
30 36 9
27 33 12
31 32 10
31 36 18
30 36 5
27 35 17
27 32 17
29 34 9
27 35 18
27 34 16
28 34 9
34 40 16
33 37 13
33 37 10
33 37 14
36 38 7
34 41 15
34 37 17
33 37 7
36 41 9
33 39 8
35 39 13
35 41 10
34 40 7
33 39 15
35 37 20
32 38 18
34 39 18
35 39 12
32 41 10
32 38 13
41 44 3
39 42 7
40 46 18
37 42 15
38 43 5
37 46 14
37 45 1
40 44 16
37 46 17
40 44 16
40 42 8
41 44 18
40 43 12
37 43 8
39 44 19
40 45 20
38 42 9
38 46 5
38 42 11
39 44 5
42 49 20
44 49 8
43 50 19
45 49 11
46 48 1
46 49 20
43 51 2
44 47 20
43 50 18
46 48 14
43 51 4
43 49 2
46 47 4
42 47 13
43 51 3
45 49 10
44 47 19
43 51 6
45 51 9
44 48 15
48 54 9
51 53 12
50 54 4
48 54 10
48 54 2
47 56 12
49 56 17
49 54 6
51 54 6
50 56 6
50 52 10
51 56 5
51 55 15
48 56 5
49 53 17
50 52 9
48 54 11
48 54 13
48 54 16
50 52 19
54 60 12
54 59 15
56 59 13
56 59 1
56 57 15
56 58 13
56 60 2
52 58 18
53 61 12
56 60 8
52 57 13
55 59 11
55 61 6
52 57 20
52 58 4
54 59 3
53 58 6
52 58 17
53 58 12
52 58 8
57 65 9
57 65 11
59 65 1
57 63 11
61 65 6
61 64 10
57 65 14
59 63 12
58 62 18
59 66 1
60 65 17
58 66 17
61 62 6
59 65 16
59 63 4
61 64 3
61 65 12
57 64 1
60 62 4
57 63 13
64 69 7
65 69 2
65 71 5
66 69 15
66 69 1
65 67 12
65 71 13
65 68 13
66 68 6
62 68 1
63 71 4
62 71 8
62 68 10
66 69 4
62 70 7
63 69 18
66 67 15
65 70 4
63 68 19
64 68 5
67 76 17
67 72 11
68 75 11
69 74 16
67 75 5
67 76 18
67 73 18
70 72 9
69 74 16
71 74 18
69 72 18
69 73 19
71 74 13
68 72 2
71 74 20
68 74 14
69 72 2
70 72 18
68 74 4
70 75 20
76 78 1
73 77 20
76 81 3
74 78 13
74 78 7
75 77 14
76 77 8
76 79 9
75 77 14
76 78 3
76 81 2
73 81 8
76 80 19
72 77 6
75 78 9
72 80 1
75 81 15
75 79 7
75 79 8
73 78 2
78 85 11
79 82 14
79 83 6
79 83 11
81 84 13
78 84 15
78 84 14
78 84 11
79 82 11
80 85 5
79 86 16
81 84 1
81 84 10
79 84 17
77 82 13
77 82 15
81 86 2
77 86 1
81 82 3
81 83 20
82 87 2
83 88 16
83 91 15
86 88 16
83 91 8
86 88 8
86 89 6
84 88 15
86 89 18
82 88 10
85 87 16
85 90 14
85 90 6
83 88 5
84 90 9
83 88 14
83 89 16
86 90 20
86 90 4
84 87 4
91 92 3
91 96 18
88 92 14
91 96 15
87 95 11
88 92 15
89 92 7
90 96 12
88 93 19
89 96 10
88 93 3
87 92 15
88 95 7
88 92 3
90 96 12
87 93 19
88 95 20
87 94 16
88 96 7
89 93 1
94 102 16
92 102 18
94 102 17
96 102 20
92 102 13
94 102 17
92 102 4
96 102 2
94 102 18
95 102 10
96 102 9
94 102 6
96 102 8
95 102 1
92 102 10
96 102 2
95 102 1
92 102 2
93 102 11
95 102 7
